Date,RELIANCE.NS_Open,RELIANCE.NS_High,RELIANCE.NS_Low,RELIANCE.NS_Close,RELIANCE.NS_Volume,TCS.NS_Open,TCS.NS_High,TCS.NS_Low,TCS.NS_Close,TCS.NS_Volume,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close,NVDA_Volume,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Volume,META_Open,META_High,META_Low,META_Close,META_Volume,HDFCBANK.NS_Open,HDFCBANK.NS_High,HDFCBANK.NS_Low,HDFCBANK.NS_Close,HDFCBANK.NS_Volume,GOOGL_Open,GOOGL_High,GOOGL_Low,GOOGL_Close,GOOGL_Volume,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Volume,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Volume,INFY.NS_Open,INFY.NS_High,INFY.NS_Low,INFY.NS_Close,INFY.NS_Volume,TSLA_Open,TSLA_High,TSLA_Low,TSLA_Close,TSLA_Volume
2024-10-15,1353.1207855156183,1366.243302159234,1335.3666207605413,1338.678466796875,33762794.0,3859.039242334843,3895.378221785948,3825.3631508944272,3845.7275390625,2759474.0,137.8153397242487,138.5150744275185,128.68896947491228,131.54783630371094,377831000.0,187.6300048828125,188.41000366210938,184.5800018310547,187.69000244140625,32178900.0,587.3277674752023,587.7756200523332,577.3558952346164,583.4564819335938,9564200.0,835.7038196244212,837.6771462351046,826.5771840500105,830.81982421875,19651130.0,164.83814757105517,166.71729595706415,163.6848189785555,164.5100555419922,20247200.0,231.87181141001133,235.72294688412148,230.64103225198252,232.1100311279297,64751400.0,416.3969398711013,416.69284850861214,409.57174739931537,413.0040588378906,18900200.0,1882.2310163628915,1912.433094709219,1874.3083602991192,1881.558837890625,5353705.0,220.00999450683594,224.25999450683594,217.1199951171875,219.57000732421875,62988800.0
2024-10-16,1334.6695151768993,1358.5740438069333,1332.3039628645522,1348.6884765625,20034438.0,3816.0216134166303,3844.0462519484536,3799.393615608063,3825.31640625,2359151.0,133.92688301499192,136.56583584893667,131.527840530584,135.66619873046875,264879700.0,187.0500030517578,187.77999877929688,185.61000061035156,186.88999938964844,23456800.0,578.6099570311397,579.2866865055009,571.2753296162662,574.0220336914062,11268400.0,828.8465156450762,842.585790426718,828.8465156450762,838.565185546875,20470682.0,163.58537367338423,164.84808640066018,162.7999160190336,164.21176147460938,16406000.0,229.87678174389526,230.3929017691756,228.12986736523644,230.05543518066406,34082200.0,409.4829531752425,410.65662468764714,404.85719508098555,410.419921875,15508900.0,1877.42944464905,1881.7989564876755,1840.312977195666,1843.9141845703125,3111512.0,221.39999389648438,222.82000732421875,218.92999267578125,221.3300018310547,49632800.0
2024-10-17,1360.2671814831224,1363.0062419523483,1346.6715786036464,1351.0291748046875,15543660.0,3841.990767054733,3858.0118829761873,3823.447935515133,3838.441162109375,2522659.0,139.28475003463748,140.83413853249198,136.81572813387166,136.87570190429688,306435900.0,188.22000122070312,188.94000244140625,186.0,187.52999877929688,25039400.0,580.5306267288739,582.162710233978,572.4396375946716,574.1613159179688,8701200.0,836.1724403142362,837.5044718768119,821.4958240034423,825.4178466796875,14695732.0,164.7784643120133,165.41478917356866,161.82551522151294,161.99453735351562,21453400.0,231.69315867439417,232.11004699556463,228.8048220166126,230.4226837158203,32993800.0,416.57447660649984,416.7125733271007,409.89722324961605,411.0117492675781,14820000.0,1858.415027332384,1899.516854492198,1853.5654717255002,1890.0096435546875,8162822.0,221.58999633789062,222.0800018310547,217.89999389648438,220.88999938964844,50791800.0
2024-10-18,1346.796043723323,1362.9814005892638,1335.9891081789099,1353.8927001953125,12082452.0,3830.013454514362,3882.594110124687,3820.649118439755,3860.96240234375,2361000.0,138.61502982502418,138.8449343829922,137.22558142668973,137.94529724121094,176090200.0,187.14999389648438,190.74000549316406,186.27999877929688,188.99000549316406,37417700.0,578.3112766994918,581.1674987096003,572.4893751474343,573.7034912109375,7694300.0,820.4598702584595,834.2238355924767,816.0198853262701,829.7098388671875,24809724.0,162.25307524146882,163.76435267205474,162.14370618061358,162.48175048828125,19757700.0,234.42267769537074,234.42267769537074,232.2688255608399,233.25146484375,46431500.0,411.4260201751563,413.90161766396704,410.5580696214905,412.4320373535156,17145300.0,1818.6577602233042,1859.9995499352583,1795.0818094027522,1805.0211181640625,10526196.0,220.7100067138672,222.27999877929688,219.22999572753906,220.6999969482422,49611900.0
2024-10-21,1361.686598848784,1368.5342502099143,1352.3239675798945,1363.7532958984375,14067408.0,3869.905415130514,3876.788293233767,3811.2845829224775,3820.508544921875,1595450.0,138.07524085271365,143.6530303955078,137.94528751258602,143.6530303955078,264554500.0,188.0500030517578,189.4600067138672,186.39999389648438,189.07000732421875,24639400.0,573.2657221535495,574.4698766165733,566.37888676671,572.3998413085938,8171900.0,846.063768270474,862.4177242903107,844.1151323678729,852.8223876953125,46548354.0,162.01445640921125,163.5555604691452,161.6863492090046,163.12803649902344,20946500.0,232.7055644739604,235.08771628667242,232.7055644739604,234.720458984375,36254500.0,410.41998166329415,413.22107571933117,408.08245074925037,413.0435485839844,14206100.0,1816.0647726492866,1823.4593218230411,1765.071701772492,1779.2364501953125,4654601.0,218.89999389648438,220.47999572753906,215.72999572753906,218.85000610351562,47329000.0
2024-10-22,1363.7532474009167,1370.5262455038624,1334.8935348257999,1338.006103515625,15831960.0,3807.538671802041,3829.8258351822333,3751.6805040836334,3760.248779296875,1928049.0,142.85335791004843,144.3627538949317,141.72380093133486,143.5330810546875,226311600.0,188.35000610351562,191.52000427246094,186.97999572753906,189.6999969482422,29650600.0,571.5339961936412,580.7297050326658,569.3744268963089,579.2169799804688,8544500.0,853.4884373802005,858.3970631644344,843.9424218629189,845.841796875,38875280.0,162.04426180421996,164.81825178422423,162.04426180421996,164.19186401367188,16568100.0,232.14972869721714,234.46239402859047,230.8693336731526,234.10507202148438,38846600.0,412.75749822543423,424.68188532771023,412.3136804024992,421.6539611816406,25482200.0,1784.4701814346959,1803.2925852339904,1773.666559613223,1778.132080078125,4125240.0,217.30999755859375,218.22000122070312,215.25999450683594,217.97000122070312,43268700.0
2024-10-23,1332.1793705575924,1352.0748848775756,1329.689315659354,1333.2003173828125,17214742.0,3745.359984263881,3852.066320525731,3741.192671772974,3807.773193359375,1966476.0,141.97369118156848,142.37352650102258,137.40551088320953,139.50466918945312,285930000.0,188.85000610351562,189.16000366210938,183.69000244140625,184.7100067138672,31937100.0,577.1867042398765,582.192594507908,559.8005716422192,560.98486328125,14248400.0,841.1551854708522,861.603759041874,841.1551854708522,856.3251342773438,38036090.0,163.81404098216163,164.867967838788,161.00028733207427,161.8454132080078,18280500.0,232.33830371042365,233.39041424004768,226.06532109909307,229.04299926757812,52287000.0,424.95807417580835,425.1750618243365,416.742191587473,418.7838439941406,19654400.0,1772.034052723245,1811.1671716222952,1770.8336503030287,1799.067138671875,4311910.0,217.1300048828125,218.72000122070312,212.11000061035156,213.64999389648438,80938900.0
2024-10-24,1329.9633130042932,1338.3547254831988,1317.8616212723593,1334.4703369140625,22155934.0,3749.480013206115,3819.7125309359994,3749.480013206115,3790.58935546875,2676744.0,140.76418072009866,141.293969386979,138.40511570705533,140.35433959960938,172354900.0,185.25,187.11000061035156,183.86000061035156,186.3800048828125,21647400.0,564.4084538185217,566.15005589508,558.8253897398115,565.0553588867188,7184700.0,857.4597103207274,872.5310159915173,857.4597103207274,863.15771484375,30832258.0,161.89515092756724,162.39228029287776,160.0855927556685,161.78578186035156,22412500.0,228.26884002769643,229.10260155629064,226.710529416834,228.85446166992188,31109500.0,419.5037748840412,420.144895200207,416.6139175340375,418.9120178222656,13581600.0,1787.5433126309072,1809.2465653946333,1786.198838446931,1789.4158935546875,2906475.0,244.67999267578125,262.1199951171875,242.64999389648438,260.4800109863281,204491900.0
2024-10-25,1338.1555171764887,1339.002111534351,1316.7410448137834,1322.5677490234375,18597496.0,3799.1580039005003,3831.8863126796623,3776.3557541640885,3799.626220703125,1759676.0,140.8741279131319,144.0728716327459,140.74418981710016,141.48388671875,205122100.0,187.85000610351562,190.4499969482422,187.52999877929688,187.8300018310547,29362100.0,571.1756917804064,578.5003564229931,568.9762757450173,570.4989624023438,11337900.0,865.7970368926951,867.2030200365818,852.8223905419693,860.0744018554688,26130478.0,162.73030140529735,164.63927607521566,162.48173675810202,164.3211212158203,19828900.0,228.03061417648678,231.48471683213373,227.86188088691335,229.6881866455078,38802300.0,420.914242666979,426.5953216047658,420.72684288279277,422.2851867675781,16899100.0,1789.5119595392343,1801.9001366151979,1773.1385399992107,1788.1676025390625,4689120.0,256.010009765625,269.489990234375,255.32000732421875,269.19000244140625,161611900.0
2024-10-28,1331.6813526124565,1347.6177038778262,1316.8406011796387,1329.0418701171875,10824350.0,3810.301294003955,3871.2163428984345,3793.4923573008123,3830.809326171875,1532534.0,142.9433224828564,143.08326638426843,139.99449475491215,140.4643096923828,173586700.0,189.57000732421875,190.2100067138672,188.2100067138672,188.38999938964844,27930800.0,579.2070359341649,580.948637846338,571.3648464645419,575.3854370117188,10925100.0,859.383716444917,863.8237012026692,852.9210840084185,855.5357055664062,22012142.0,167.78114595500233,167.78114595500233,163.00870143582344,165.76280212402344,32138600.0,231.58399967772363,232.98349712196287,230.81972458948547,231.66339111328125,36087100.0,425.7471405789212,426.02330394508874,420.46054601286414,420.74658203125,14882400.0,1785.9107053224764,1807.2299232087717,1783.3178829165497,1791.3365478515625,7018940.0,270.0,273.5400085449219,262.239990234375,262.510009765625,107653600.0
2024-10-29,1322.8167478889227,1337.856655249044,1315.0478495098762,1334.66943359375,12008361.0,3835.4913054593726,3842.654930403522,3802.013807284174,3816.20068359375,1445885.0,140.23437413304583,142.20359433012132,138.8449258203989,141.19400024414062,157593600.0,188.5800018310547,191.4600067138672,187.82000732421875,190.8300018310547,35690200.0,577.365987086118,590.8210656933186,572.6387814957556,590.4329833984375,13019100.0,851.5644426318723,870.2370336046123,851.0464203091243,864.2430419921875,35794926.0,166.76699401414237,169.40178845873763,166.13066910445878,168.70579528808594,42169000.0,231.36564539627622,232.58648944554818,230.59145013134693,231.931396484375,35417200.0,422.1372070838931,427.23640107681365,419.96733089551304,426.0331115722656,17644100.0,1792.9391324904534,1798.378144066303,1776.4277753656768,1786.4317626953125,4621252.0,264.510009765625,264.9800109863281,255.50999450683594,259.5199890136719,80521800.0
2024-10-30,1329.6893351932274,1344.62966480214,1320.0776988278842,1338.553955078125,11984423.0,3815.9669251651126,3845.932800405673,3801.96728855046,3825.00341796875,1935002.0,139.48467718743143,140.27437255912164,136.75576367804047,139.28475952148438,179418100.0,194.6999969482422,195.61000061035156,192.4199981689453,192.72999572753906,37707600.0,598.0958371766848,598.3148129678752,586.5515306527154,588.9598999023438,26864900.0,859.3837596235229,865.6737383463702,850.6024319063034,855.7330932617188,32715724.0,179.64261737988735,180.97493529169347,173.06063100562596,173.45834350585938,68890800.0,230.87925826342104,231.7328600109945,227.8420287171323,228.387939453125,47070900.0,431.44794042425275,432.4934181148105,426.1810914644013,426.6051940917969,29749100.0,1779.3414895531696,1786.1402834543007,1744.716179758669,1750.3009033203125,5919715.0,258.0400085449219,263.3500061035156,255.82000732421875,257.54998779296875,53993600.0
2024-10-31,1334.6694245700712,1337.6574904459744,1320.8745447599274,1326.7510986328125,9331650.0,3811.284570542396,3819.0570147766425,3708.276879446656,3716.189697265625,3740372.0,137.54545990469654,137.55545044959692,132.05763071180766,132.70736694335938,270039600.0,190.50999450683594,190.60000610351562,185.22999572753906,186.39999389648438,75146800.0,582.1927114188259,587.0692216746233,560.3082463955366,564.8563232421875,26838400.0,852.4770662952162,857.8543931673494,848.234426273393,856.2756958007812,22895912.0,172.13600066532192,175.80481742033143,170.01822493850247,170.12759399414062,44769000.0,227.63358238786932,228.11994197442104,223.693120129287,224.22911071777344,64370100.0,409.6703426075015,410.4594021869807,400.7344498042727,400.7837829589844,53971000.0,1736.5091412479787,1736.5091412479787,1696.2991072073619,1706.7401123046875,7395236.0,257.989990234375,259.75,249.25,249.85000610351562,66575300.0
2024-11-01,1327.7471304089104,1336.6116286385318,1327.6972806767253,1333.3248291015625,2127335.0,3736.22946325371,3744.7508713227357,3723.306634635094,3730.9384765625,154895.0,134.64660922766117,137.25557537634637,134.5166711244238,135.34632873535156,207127800.0,199.0,200.5,197.02000427246094,197.92999267578125,99687800.0,564.886023984338,570.9169396034644,559.8602710921074,564.4381713867188,15303200.0,854.9437742666823,860.419743696405,851.5397737386437,857.0651245117188,1759692.0,169.09358268677013,171.33066473922122,167.91041241830663,170.3065643310547,31796500.0,219.32586653780092,223.67328184782377,218.6310779402587,221.25143432617188,65276700.0,403.40733166804887,409.8084210802644,401.91800623395363,404.7486877441406,24230400.0,1713.7816813488193,1715.2385657478123,1701.6895882617994,1710.236572265625,371966.0,252.0399932861328,254.0,246.6300048828125,248.97999572753906,57544800.0
2024-11-04,1332.5280301195805,1334.6695017714562,1279.9878687625326,1296.9700927734375,19796890.0,3714.176555308054,3738.149117791104,3664.49870814831,3712.1630859375,2269192.0,137.15562237613318,138.90492874894582,135.51627301400697,135.99607849121094,187528200.0,196.4499969482422,197.3300018310547,194.30999755859375,195.77999877929688,38492100.0,561.392889439504,565.9608889972419,555.2127297782872,557.9893188476562,12064600.0,860.8637106769045,860.8637106769045,844.0411138190809,845.6197509765625,28089248.0,168.95436679599575,169.7497767581588,167.04539198951443,168.26834106445312,21492700.0,219.34572401852256,221.13231895883285,218.0752491010658,220.35812377929688,44944500.0,404.18650910637746,404.7980415718176,400.01447130701087,402.8648681640625,19672300.0,1674.9315887150042,1716.2099839138373,1668.6184223904768,1712.956298828125,7336722.0,244.55999755859375,248.89999389648438,238.8800048828125,242.83999633789062,68802400.0
2024-11-05,1287.8564249120313,1304.3406373759979,1281.0336986406933,1300.1075439453125,16267479.0,3690.578402330056,3732.624177811658,3690.578402330056,3718.905517578125,967590.0,137.39550649112996,140.31434706066804,137.27555894461494,139.8545379638672,160537400.0,196.0399932861328,199.82000732421875,195.99000549316406,199.5,30564800.0,564.577596671882,570.7279324508698,563.9506150919713,569.6829833984375,9775400.0,840.1437747820238,869.5956493162819,837.6277954866241,867.2030029296875,44232406.0,168.45722424913848,169.55091475770118,167.87061532690117,168.7654571533203,18242100.0,220.14969745378525,222.28369429475046,219.49460455688452,221.78741455078125,28111300.0,402.7760918050739,409.2166418436789,402.4900558335031,405.8237609863281,17626000.0,1709.4111662537578,1717.6182349398387,1694.8423210868225,1703.77783203125,3160880.0,247.33999633789062,255.27999877929688,246.2100067138672,251.44000244140625,69282500.0
2024-11-06,1304.7888451117578,1323.0160966964434,1295.0277806900112,1320.0777587890625,21625209.0,3749.105713751395,3886.0120339656723,3722.5577293084234,3876.50732421875,3792017.0,142.90333324876622,146.4319326348536,141.90372967757455,145.55227661132812,242043900.0,200.00999450683594,207.5500030517578,199.13999938964844,207.08999633789062,72292200.0,560.0493909181008,570.2502016811582,552.5057499508582,569.3047485351562,18305400.0,873.9370497603172,873.9370497603172,861.0364145993881,865.92041015625,27787910.0,172.8021647148181,175.92413641911588,172.50388407123629,175.49659729003906,33695500.0,220.95366880237512,224.387931303672,219.54423614319148,221.06285095214844,54561100.0,406.77066424480597,414.69066771455005,404.8966664565658,414.4243469238281,26681800.0,1713.296076841982,1774.6794262747362,1711.9849045771186,1771.280029296875,10421494.0,284.6700134277344,289.5899963378906,275.6199951171875,288.5299987792969,165228700.0
2024-11-07,1318.7331565363688,1318.7331565363688,1297.4182609581876,1300.4561767578125,9611974.0,3904.6472175492813,3938.4521034399195,3825.377979126114,3887.0419921875,3724349.0,146.33198051831096,148.8709671267726,146.1120664908763,148.8209991455078,207323300.0,207.44000244140625,212.25,207.19000244140625,210.0500030517578,52878400.0,574.1216080144851,591.9456339468819,572.4496773656942,588.8605346679688,14653700.0,860.5184217555121,868.7323455565536,857.4104082699865,861.62841796875,18895456.0,176.3914145518733,180.0403416420051,176.17267645525013,179.7122344970703,25352900.0,222.95865940199351,226.18447798056903,222.89910825147632,225.78744506835938,42137700.0,415.5092700597973,421.0029789570154,414.12845339700306,419.6024169921875,19901800.0,1760.8390975998175,1773.22261567757,1735.6350435250165,1751.2237548828125,4550965.0,288.8900146484375,299.75,285.5199890136719,296.9100036621094,117309200.0
2024-11-08,1292.4879180085577,1296.4720058402277,1269.9279963447846,1278.6431884765625,19814406.0,3890.881605513963,3904.6940011051383,3855.905719127717,3883.39013671875,1648039.0,148.7110195677981,149.7106230852884,146.20200497714438,147.57147216796875,175665800.0,209.72000122070312,209.9600067138672,207.44000244140625,208.17999267578125,36075800.0,588.70123463837,590.2537459189086,581.7149642470737,586.5118408203125,9415700.0,864.3170573375987,869.1517316326272,861.2830556229201,865.5256958007812,19902986.0,179.612801825818,179.86136646447602,177.05756522942787,177.32601928710938,22006200.0,225.72779283046052,227.2083389148385,224.9726232043034,225.51913452148438,38328800.0,419.4939322441371,420.65776126477715,416.0024150826717,416.75201416015625,16891400.0,1765.7438769390867,1787.6942446562714,1761.0333078003775,1777.350341796875,4210960.0,299.1400146484375,328.7099914550781,297.6600036621094,321.2200012207031,204782800.0
2024-11-11,1273.8622221377802,1280.884225507143,1261.9598084895413,1267.6370849609375,9056552.0,3865.784905929242,3965.1401331569796,3855.905258290536,3931.803466796875,1406487.0,148.62105018654825,148.7909962143961,143.51309063046196,145.20240783691406,182325600.0,208.5,209.64999389648438,205.58999633789062,206.83999633789062,35456000.0,583.5460928122134,584.1830360838699,573.7433864354757,580.3713989257812,10209100.0,865.5750573030832,879.5116762015548,863.9223481240455,871.3717041015625,24565362.0,177.5547178158643,179.5134086393181,177.44534875364968,179.31455993652344,17450400.0,223.57158868270503,224.26714170400084,220.0938084143074,222.8064727783203,42005600.0,416.7322894657105,418.99092936118404,410.301611581567,412.2840881347656,24503300.0,1776.427742360696,1814.306737413767,1770.163186757311,1806.6337890625,3804234.0,346.29998779296875,358.6400146484375,336.0,350.0,210521600.0
